"Character","Description","Encoded Byte"
" &#4419;","HANGUL CHOSEONG IEUNG-MIEUM (U+1143)"," e18583"
" &#4420;","HANGUL CHOSEONG IEUNG-PIEUP (U+1144)"," e18584"
" &#4421;","HANGUL CHOSEONG IEUNG-SIOS (U+1145)"," e18585"
" &#4422;","HANGUL CHOSEONG IEUNG-PANSIOS (U+1146)"," e18586"
" &#4423;","HANGUL CHOSEONG SSANGIEUNG (U+1147)"," e18587"
" &#4424;","HANGUL CHOSEONG IEUNG-CIEUC (U+1148)"," e18588"
" &#4425;","HANGUL CHOSEONG IEUNG-CHIEUCH (U+1149)"," e18589"
" &#4426;","HANGUL CHOSEONG IEUNG-THIEUTH (U+114A)"," e1858a"
" &#4427;","HANGUL CHOSEONG IEUNG-PHIEUPH (U+114B)"," e1858b"
" &#4428;","HANGUL CHOSEONG YESIEUNG (U+114C)"," e1858c"
" &#4429;","HANGUL CHOSEONG CIEUC-IEUNG (U+114D)"," e1858d"
" &#4430;","HANGUL CHOSEONG CHITUEUMCIEUC (U+114E)"," e1858e"
" &#4431;","HANGUL CHOSEONG CHITUEUMSSANGCIEUC (U+114F)"," e1858f"
" &#4432;","HANGUL CHOSEONG CEONGCHIEUMCIEUC (U+1150)"," e18590"
" &#4433;","HANGUL CHOSEONG CEONGCHIEUMSSANGCIEUC (U+1151)"," e18591"
" &#4434;","HANGUL CHOSEONG CHIEUCH-KHIEUKH (U+1152)"," e18592"
" &#4435;","HANGUL CHOSEONG CHIEUCH-HIEUH (U+1153)"," e18593"
" &#4436;","HANGUL CHOSEONG CHITUEUMCHIEUCH (U+1154)"," e18594"
" &#4437;","HANGUL CHOSEONG CEONGCHIEUMCHIEUCH (U+1155)"," e18595"
" &#4438;","HANGUL CHOSEONG PHIEUPH-PIEUP (U+1156)"," e18596"
" &#4439;","HANGUL CHOSEONG KAPYEOUNPHIEUPH (U+1157)"," e18597"
" &#4440;","HANGUL CHOSEONG SSANGHIEUH (U+1158)"," e18598"
" &#4441;","HANGUL CHOSEONG YEORINHIEUH (U+1159)"," e18599"
" &#4442;","HANGUL CHOSEONG KIYEOK-TIKEUT (U+115A)"," e1859a"
" &#4443;","HANGUL CHOSEONG NIEUN-SIOS (U+115B)"," e1859b"
" &#4444;","HANGUL CHOSEONG NIEUN-CIEUC (U+115C)"," e1859c"
" &#4445;","HANGUL CHOSEONG NIEUN-HIEUH (U+115D)"," e1859d"
" &#4446;","HANGUL CHOSEONG TIKEUT-RIEUL (U+115E)"," e1859e"
" &#4447;","HANGUL CHOSEONG FILLER (U+115F)"," e1859f"
" &#4448;","HANGUL JUNGSEONG FILLER (U+1160)"," e185a0"
" &#4449;","HANGUL JUNGSEONG A (U+1161)"," e185a1"
" &#4450;","HANGUL JUNGSEONG AE (U+1162)"," e185a2"
" &#4451;","HANGUL JUNGSEONG YA (U+1163)"," e185a3"
" &#4452;","HANGUL JUNGSEONG YAE (U+1164)"," e185a4"
" &#4453;","HANGUL JUNGSEONG EO (U+1165)"," e185a5"
" &#4454;","HANGUL JUNGSEONG E (U+1166)"," e185a6"
" &#4455;","HANGUL JUNGSEONG YEO (U+1167)"," e185a7"
" &#4456;","HANGUL JUNGSEONG YE (U+1168)"," e185a8"
" &#4457;","HANGUL JUNGSEONG O (U+1169)"," e185a9"
" &#4458;","HANGUL JUNGSEONG WA (U+116A)"," e185aa"
" &#4459;","HANGUL JUNGSEONG WAE (U+116B)"," e185ab"
" &#4460;","HANGUL JUNGSEONG OE (U+116C)"," e185ac"
" &#4461;","HANGUL JUNGSEONG YO (U+116D)"," e185ad"
" &#4462;","HANGUL JUNGSEONG U (U+116E)"," e185ae"
" &#4463;","HANGUL JUNGSEONG WEO (U+116F)"," e185af"
" &#4464;","HANGUL JUNGSEONG WE (U+1170)"," e185b0"
" &#4465;","HANGUL JUNGSEONG WI (U+1171)"," e185b1"
" &#4466;","HANGUL JUNGSEONG YU (U+1172)"," e185b2"
" &#4467;","HANGUL JUNGSEONG EU (U+1173)"," e185b3"
" &#4468;","HANGUL JUNGSEONG YI (U+1174)"," e185b4"
" &#4469;","HANGUL JUNGSEONG I (U+1175)"," e185b5"
" &#4470;","HANGUL JUNGSEONG A-O (U+1176)"," e185b6"
" &#4471;","HANGUL JUNGSEONG A-U (U+1177)"," e185b7"
" &#4472;","HANGUL JUNGSEONG YA-O (U+1178)"," e185b8"
" &#4473;","HANGUL JUNGSEONG YA-YO (U+1179)"," e185b9"
" &#4474;","HANGUL JUNGSEONG EO-O (U+117A)"," e185ba"
" &#4475;","HANGUL JUNGSEONG EO-U (U+117B)"," e185bb"
" &#4476;","HANGUL JUNGSEONG EO-EU (U+117C)"," e185bc"
" &#4477;","HANGUL JUNGSEONG YEO-O (U+117D)"," e185bd"
" &#4478;","HANGUL JUNGSEONG YEO-U (U+117E)"," e185be"
" &#4479;","HANGUL JUNGSEONG O-EO (U+117F)"," e185bf"
" &#4480;","HANGUL JUNGSEONG O-E (U+1180)"," e18680"
" &#4481;","HANGUL JUNGSEONG O-YE (U+1181)"," e18681"
" &#4482;","HANGUL JUNGSEONG O-O (U+1182)"," e18682"
" &#4483;","HANGUL JUNGSEONG O-U (U+1183)"," e18683"
" &#4484;","HANGUL JUNGSEONG YO-YA (U+1184)"," e18684"
" &#4485;","HANGUL JUNGSEONG YO-YAE (U+1185)"," e18685"
" &#4486;","HANGUL JUNGSEONG YO-YEO (U+1186)"," e18686"
" &#4487;","HANGUL JUNGSEONG YO-O (U+1187)"," e18687"
" &#4488;","HANGUL JUNGSEONG YO-I (U+1188)"," e18688"
" &#4489;","HANGUL JUNGSEONG U-A (U+1189)"," e18689"
" &#4490;","HANGUL JUNGSEONG U-AE (U+118A)"," e1868a"
" &#4491;","HANGUL JUNGSEONG U-EO-EU (U+118B)"," e1868b"
" &#4492;","HANGUL JUNGSEONG U-YE (U+118C)"," e1868c"
" &#4493;","HANGUL JUNGSEONG U-U (U+118D)"," e1868d"
" &#4494;","HANGUL JUNGSEONG YU-A (U+118E)"," e1868e"
" &#4495;","HANGUL JUNGSEONG YU-EO (U+118F)"," e1868f"
" &#4496;","HANGUL JUNGSEONG YU-E (U+1190)"," e18690"
" &#4497;","HANGUL JUNGSEONG YU-YEO (U+1191)"," e18691"
" &#4498;","HANGUL JUNGSEONG YU-YE (U+1192)"," e18692"
" &#4499;","HANGUL JUNGSEONG YU-U (U+1193)"," e18693"
" &#4500;","HANGUL JUNGSEONG YU-I (U+1194)"," e18694"
" &#4501;","HANGUL JUNGSEONG EU-U (U+1195)"," e18695"
" &#4502;","HANGUL JUNGSEONG EU-EU (U+1196)"," e18696"
" &#4503;","HANGUL JUNGSEONG YI-U (U+1197)"," e18697"
" &#4504;","HANGUL JUNGSEONG I-A (U+1198)"," e18698"
" &#4505;","HANGUL JUNGSEONG I-YA (U+1199)"," e18699"
" &#4506;","HANGUL JUNGSEONG I-O (U+119A)"," e1869a"
" &#4507;","HANGUL JUNGSEONG I-U (U+119B)"," e1869b"
" &#4508;","HANGUL JUNGSEONG I-EU (U+119C)"," e1869c"
" &#4509;","HANGUL JUNGSEONG I-ARAEA (U+119D)"," e1869d"
" &#4510;","HANGUL JUNGSEONG ARAEA (U+119E)"," e1869e"
" &#4511;","HANGUL JUNGSEONG ARAEA-EO (U+119F)"," e1869f"
" &#4512;","HANGUL JUNGSEONG ARAEA-U (U+11A0)"," e186a0"
" &#4513;","HANGUL JUNGSEONG ARAEA-I (U+11A1)"," e186a1"
" &#4514;","HANGUL JUNGSEONG SSANGARAEA (U+11A2)"," e186a2"
" &#4515;","HANGUL JUNGSEONG A-EU (U+11A3)"," e186a3"
" &#4516;","HANGUL JUNGSEONG YA-U (U+11A4)"," e186a4"
" &#4517;","HANGUL JUNGSEONG YEO-YA (U+11A5)"," e186a5"
" &#4518;","HANGUL JUNGSEONG O-YA (U+11A6)"," e186a6"
" &#4519;","HANGUL JUNGSEONG O-YAE (U+11A7)"," e186a7"
" &#4520;","HANGUL JONGSEONG KIYEOK (U+11A8)"," e186a8"
" &#4521;","HANGUL JONGSEONG SSANGKIYEOK (U+11A9)"," e186a9"
" &#4522;","HANGUL JONGSEONG KIYEOK-SIOS (U+11AA)"," e186aa"
" &#4523;","HANGUL JONGSEONG NIEUN (U+11AB)"," e186ab"
" &#4524;","HANGUL JONGSEONG NIEUN-CIEUC (U+11AC)"," e186ac"
" &#4525;","HANGUL JONGSEONG NIEUN-HIEUH (U+11AD)"," e186ad"
" &#4526;","HANGUL JONGSEONG TIKEUT (U+11AE)"," e186ae"
" &#4527;","HANGUL JONGSEONG RIEUL (U+11AF)"," e186af"
" &#4528;","HANGUL JONGSEONG RIEUL-KIYEOK (U+11B0)"," e186b0"
" &#4529;","HANGUL JONGSEONG RIEUL-MIEUM (U+11B1)"," e186b1"
" &#4530;","HANGUL JONGSEONG RIEUL-PIEUP (U+11B2)"," e186b2"
" &#4531;","HANGUL JONGSEONG RIEUL-SIOS (U+11B3)"," e186b3"
" &#4532;","HANGUL JONGSEONG RIEUL-THIEUTH (U+11B4)"," e186b4"
" &#4533;","HANGUL JONGSEONG RIEUL-PHIEUPH (U+11B5)"," e186b5"
" &#4534;","HANGUL JONGSEONG RIEUL-HIEUH (U+11B6)"," e186b6"
" &#4535;","HANGUL JONGSEONG MIEUM (U+11B7)"," e186b7"
" &#4536;","HANGUL JONGSEONG PIEUP (U+11B8)"," e186b8"
" &#4537;","HANGUL JONGSEONG PIEUP-SIOS (U+11B9)"," e186b9"
" &#4538;","HANGUL JONGSEONG SIOS (U+11BA)"," e186ba"
" &#4539;","HANGUL JONGSEONG SSANGSIOS (U+11BB)"," e186bb"
" &#4540;","HANGUL JONGSEONG IEUNG (U+11BC)"," e186bc"
" &#4541;","HANGUL JONGSEONG CIEUC (U+11BD)"," e186bd"
" &#4542;","HANGUL JONGSEONG CHIEUCH (U+11BE)"," e186be"
" &#4543;","HANGUL JONGSEONG KHIEUKH (U+11BF)"," e186bf"
" &#4544;","HANGUL JONGSEONG THIEUTH (U+11C0)"," e18780"
" &#4545;","HANGUL JONGSEONG PHIEUPH (U+11C1)"," e18781"
" &#4546;","HANGUL JONGSEONG HIEUH (U+11C2)"," e18782"
" &#4547;","HANGUL JONGSEONG KIYEOK-RIEUL (U+11C3)"," e18783"
" &#4548;","HANGUL JONGSEONG KIYEOK-SIOS-KIYEOK (U+11C4)"," e18784"
" &#4549;","HANGUL JONGSEONG NIEUN-KIYEOK (U+11C5)"," e18785"
" &#4550;","HANGUL JONGSEONG NIEUN-TIKEUT (U+11C6)"," e18786"
" &#4551;","HANGUL JONGSEONG NIEUN-SIOS (U+11C7)"," e18787"
" &#4552;","HANGUL JONGSEONG NIEUN-PANSIOS (U+11C8)"," e18788"
" &#4553;","HANGUL JONGSEONG NIEUN-THIEUTH (U+11C9)"," e18789"
" &#4554;","HANGUL JONGSEONG TIKEUT-KIYEOK (U+11CA)"," e1878a"
" &#4555;","HANGUL JONGSEONG TIKEUT-RIEUL (U+11CB)"," e1878b"
" &#4556;","HANGUL JONGSEONG RIEUL-KIYEOK-SIOS (U+11CC)"," e1878c"
" &#4557;","HANGUL JONGSEONG RIEUL-NIEUN (U+11CD)"," e1878d"
" &#4558;","HANGUL JONGSEONG RIEUL-TIKEUT (U+11CE)"," e1878e"
" &#4559;","HANGUL JONGSEONG RIEUL-TIKEUT-HIEUH (U+11CF)"," e1878f"
" &#4560;","HANGUL JONGSEONG SSANGRIEUL (U+11D0)"," e18790"
" &#4561;","HANGUL JONGSEONG RIEUL-MIEUM-KIYEOK (U+11D1)"," e18791"
" &#4562;","HANGUL JONGSEONG RIEUL-MIEUM-SIOS (U+11D2)"," e18792"
" &#4563;","HANGUL JONGSEONG RIEUL-PIEUP-SIOS (U+11D3)"," e18793"
" &#4564;","HANGUL JONGSEONG RIEUL-PIEUP-HIEUH (U+11D4)"," e18794"
" &#4565;","HANGUL JONGSEONG RIEUL-KAPYEOUNPIEUP (U+11D5)"," e18795"
" &#4566;","HANGUL JONGSEONG RIEUL-SSANGSIOS (U+11D6)"," e18796"
" &#4567;","HANGUL JONGSEONG RIEUL-PANSIOS (U+11D7)"," e18797"
" &#4568;","HANGUL JONGSEONG RIEUL-KHIEUKH (U+11D8)"," e18798"
" &#4569;","HANGUL JONGSEONG RIEUL-YEORINHIEUH (U+11D9)"," e18799"
" &#4570;","HANGUL JONGSEONG MIEUM-KIYEOK (U+11DA)"," e1879a"
" &#4571;","HANGUL JONGSEONG MIEUM-RIEUL (U+11DB)"," e1879b"
" &#4572;","HANGUL JONGSEONG MIEUM-PIEUP (U+11DC)"," e1879c"
" &#4573;","HANGUL JONGSEONG MIEUM-SIOS (U+11DD)"," e1879d"
" &#4574;","HANGUL JONGSEONG MIEUM-SSANGSIOS (U+11DE)"," e1879e"
" &#4575;","HANGUL JONGSEONG MIEUM-PANSIOS (U+11DF)"," e1879f"
" &#4576;","HANGUL JONGSEONG MIEUM-CHIEUCH (U+11E0)"," e187a0"
" &#4577;","HANGUL JONGSEONG MIEUM-HIEUH (U+11E1)"," e187a1"
" &#4578;","HANGUL JONGSEONG KAPYEOUNMIEUM (U+11E2)"," e187a2"
" &#4579;","HANGUL JONGSEONG PIEUP-RIEUL (U+11E3)"," e187a3"
" &#4580;","HANGUL JONGSEONG PIEUP-PHIEUPH (U+11E4)"," e187a4"
" &#4581;","HANGUL JONGSEONG PIEUP-HIEUH (U+11E5)"," e187a5"
" &#4582;","HANGUL JONGSEONG KAPYEOUNPIEUP (U+11E6)"," e187a6"
" &#4583;","HANGUL JONGSEONG SIOS-KIYEOK (U+11E7)"," e187a7"
" &#4584;","HANGUL JONGSEONG SIOS-TIKEUT (U+11E8)"," e187a8"
" &#4585;","HANGUL JONGSEONG SIOS-RIEUL (U+11E9)"," e187a9"
" &#4586;","HANGUL JONGSEONG SIOS-PIEUP (U+11EA)"," e187aa"
" &#4587;","HANGUL JONGSEONG PANSIOS (U+11EB)"," e187ab"
" &#4588;","HANGUL JONGSEONG IEUNG-KIYEOK (U+11EC)"," e187ac"
" &#4589;","HANGUL JONGSEONG IEUNG-SSANGKIYEOK (U+11ED)"," e187ad"
" &#4590;","HANGUL JONGSEONG SSANGIEUNG (U+11EE)"," e187ae"
" &#4591;","HANGUL JONGSEONG IEUNG-KHIEUKH (U+11EF)"," e187af"
" &#4592;","HANGUL JONGSEONG YESIEUNG (U+11F0)"," e187b0"
" &#4593;","HANGUL JONGSEONG YESIEUNG-SIOS (U+11F1)"," e187b1"
" &#4594;","HANGUL JONGSEONG YESIEUNG-PANSIOS (U+11F2)"," e187b2"
" &#4595;","HANGUL JONGSEONG PHIEUPH-PIEUP (U+11F3)"," e187b3"
" &#4596;","HANGUL JONGSEONG KAPYEOUNPHIEUPH (U+11F4)"," e187b4"
" &#4597;","HANGUL JONGSEONG HIEUH-NIEUN (U+11F5)"," e187b5"
" &#4598;","HANGUL JONGSEONG HIEUH-RIEUL (U+11F6)"," e187b6"
" &#4599;","HANGUL JONGSEONG HIEUH-MIEUM (U+11F7)"," e187b7"
" &#4600;","HANGUL JONGSEONG HIEUH-PIEUP (U+11F8)"," e187b8"
" &#4601;","HANGUL JONGSEONG YEORINHIEUH (U+11F9)"," e187b9"
" &#4602;","HANGUL JONGSEONG KIYEOK-NIEUN (U+11FA)"," e187ba"
" &#4603;","HANGUL JONGSEONG KIYEOK-PIEUP (U+11FB)"," e187bb"
" &#4604;","HANGUL JONGSEONG KIYEOK-CHIEUCH (U+11FC)"," e187bc"
" &#4605;","HANGUL JONGSEONG KIYEOK-KHIEUKH (U+11FD)"," e187bd"
" &#4606;","HANGUL JONGSEONG KIYEOK-HIEUH (U+11FE)"," e187be"
" &#4607;","HANGUL JONGSEONG SSANGNIEUN (U+11FF)"," e187bf"
" &#4608;","ETHIOPIC SYLLABLE HA (U+1200)"," e18880"
" &#4609;","ETHIOPIC SYLLABLE HU (U+1201)"," e18881"
" &#4610;","ETHIOPIC SYLLABLE HI (U+1202)"," e18882"
" &#4611;","ETHIOPIC SYLLABLE HAA (U+1203)"," e18883"
" &#4612;","ETHIOPIC SYLLABLE HEE (U+1204)"," e18884"
" &#4613;","ETHIOPIC SYLLABLE HE (U+1205)"," e18885"
" &#4614;","ETHIOPIC SYLLABLE HO (U+1206)"," e18886"
" &#4615;","ETHIOPIC SYLLABLE HOA (U+1207)"," e18887"
" &#4616;","ETHIOPIC SYLLABLE LA (U+1208)"," e18888"
" &#4617;","ETHIOPIC SYLLABLE LU (U+1209)"," e18889"
" &#4618;","ETHIOPIC SYLLABLE LI (U+120A)"," e1888a"
" &#4619;","ETHIOPIC SYLLABLE LAA (U+120B)"," e1888b"
" &#4620;","ETHIOPIC SYLLABLE LEE (U+120C)"," e1888c"
" &#4621;","ETHIOPIC SYLLABLE LE (U+120D)"," e1888d"
" &#4622;","ETHIOPIC SYLLABLE LO (U+120E)"," e1888e"
" &#4623;","ETHIOPIC SYLLABLE LWA (U+120F)"," e1888f"
" &#4624;","ETHIOPIC SYLLABLE HHA (U+1210)"," e18890"
" &#4625;","ETHIOPIC SYLLABLE HHU (U+1211)"," e18891"
" &#4626;","ETHIOPIC SYLLABLE HHI (U+1212)"," e18892"
" &#4627;","ETHIOPIC SYLLABLE HHAA (U+1213)"," e18893"
" &#4628;","ETHIOPIC SYLLABLE HHEE (U+1214)"," e18894"
" &#4629;","ETHIOPIC SYLLABLE HHE (U+1215)"," e18895"
" &#4630;","ETHIOPIC SYLLABLE HHO (U+1216)"," e18896"
" &#4631;","ETHIOPIC SYLLABLE HHWA (U+1217)"," e18897"
" &#4632;","ETHIOPIC SYLLABLE MA (U+1218)"," e18898"
" &#4633;","ETHIOPIC SYLLABLE MU (U+1219)"," e18899"
" &#4634;","ETHIOPIC SYLLABLE MI (U+121A)"," e1889a"
" &#4635;","ETHIOPIC SYLLABLE MAA (U+121B)"," e1889b"
" &#4636;","ETHIOPIC SYLLABLE MEE (U+121C)"," e1889c"
" &#4637;","ETHIOPIC SYLLABLE ME (U+121D)"," e1889d"
" &#4638;","ETHIOPIC SYLLABLE MO (U+121E)"," e1889e"
" &#4639;","ETHIOPIC SYLLABLE MWA (U+121F)"," e1889f"
" &#4640;","ETHIOPIC SYLLABLE SZA (U+1220)"," e188a0"
" &#4641;","ETHIOPIC SYLLABLE SZU (U+1221)"," e188a1"
" &#4642;","ETHIOPIC SYLLABLE SZI (U+1222)"," e188a2"
" &#4643;","ETHIOPIC SYLLABLE SZAA (U+1223)"," e188a3"
" &#4644;","ETHIOPIC SYLLABLE SZEE (U+1224)"," e188a4"
" &#4645;","ETHIOPIC SYLLABLE SZE (U+1225)"," e188a5"
" &#4646;","ETHIOPIC SYLLABLE SZO (U+1226)"," e188a6"
" &#4647;","ETHIOPIC SYLLABLE SZWA (U+1227)"," e188a7"
" &#4648;","ETHIOPIC SYLLABLE RA (U+1228)"," e188a8"
" &#4649;","ETHIOPIC SYLLABLE RU (U+1229)"," e188a9"
" &#4650;","ETHIOPIC SYLLABLE RI (U+122A)"," e188aa"
" &#4651;","ETHIOPIC SYLLABLE RAA (U+122B)"," e188ab"
" &#4652;","ETHIOPIC SYLLABLE REE (U+122C)"," e188ac"
" &#4653;","ETHIOPIC SYLLABLE RE (U+122D)"," e188ad"
" &#4654;","ETHIOPIC SYLLABLE RO (U+122E)"," e188ae"
" &#4655;","ETHIOPIC SYLLABLE RWA (U+122F)"," e188af"
" &#4656;","ETHIOPIC SYLLABLE SA (U+1230)"," e188b0"
" &#4657;","ETHIOPIC SYLLABLE SU (U+1231)"," e188b1"
" &#4658;","ETHIOPIC SYLLABLE SI (U+1232)"," e188b2"
" &#4659;","ETHIOPIC SYLLABLE SAA (U+1233)"," e188b3"
" &#4660;","ETHIOPIC SYLLABLE SEE (U+1234)"," e188b4"
" &#4661;","ETHIOPIC SYLLABLE SE (U+1235)"," e188b5"
" &#4662;","ETHIOPIC SYLLABLE SO (U+1236)"," e188b6"
" &#4663;","ETHIOPIC SYLLABLE SWA (U+1237)"," e188b7"
" &#4664;","ETHIOPIC SYLLABLE SHA (U+1238)"," e188b8"
" &#4665;","ETHIOPIC SYLLABLE SHU (U+1239)"," e188b9"
" &#4666;","ETHIOPIC SYLLABLE SHI (U+123A)"," e188ba"
" &#4667;","ETHIOPIC SYLLABLE SHAA (U+123B)"," e188bb"
" &#4668;","ETHIOPIC SYLLABLE SHEE (U+123C)"," e188bc"
" &#4669;","ETHIOPIC SYLLABLE SHE (U+123D)"," e188bd"
" &#4670;","ETHIOPIC SYLLABLE SHO (U+123E)"," e188be"
" &#4671;","ETHIOPIC SYLLABLE SHWA (U+123F)"," e188bf"
" &#4672;","ETHIOPIC SYLLABLE QA (U+1240)"," e18980"
" &#4673;","ETHIOPIC SYLLABLE QU (U+1241)"," e18981"
" &#4674;","ETHIOPIC SYLLABLE QI (U+1242)"," e18982"
" &#4675;","ETHIOPIC SYLLABLE QAA (U+1243)"," e18983"
" &#4676;","ETHIOPIC SYLLABLE QEE (U+1244)"," e18984"
" &#4677;","ETHIOPIC SYLLABLE QE (U+1245)"," e18985"
" &#4678;","ETHIOPIC SYLLABLE QO (U+1246)"," e18986"
" &#4679;","ETHIOPIC SYLLABLE QOA (U+1247)"," e18987"
" &#4680;","ETHIOPIC SYLLABLE QWA (U+1248)"," e18988"
" &#4682;","ETHIOPIC SYLLABLE QWI (U+124A)"," e1898a"
" &#4683;","ETHIOPIC SYLLABLE QWAA (U+124B)"," e1898b"
" &#4684;","ETHIOPIC SYLLABLE QWEE (U+124C)"," e1898c"
" &#4685;","ETHIOPIC SYLLABLE QWE (U+124D)"," e1898d"
" &#4688;","ETHIOPIC SYLLABLE QHA (U+1250)"," e18990"
" &#4689;","ETHIOPIC SYLLABLE QHU (U+1251)"," e18991"
" &#4690;","ETHIOPIC SYLLABLE QHI (U+1252)"," e18992"
" &#4691;","ETHIOPIC SYLLABLE QHAA (U+1253)"," e18993"
" &#4692;","ETHIOPIC SYLLABLE QHEE (U+1254)"," e18994"
" &#4693;","ETHIOPIC SYLLABLE QHE (U+1255)"," e18995"
" &#4694;","ETHIOPIC SYLLABLE QHO (U+1256)"," e18996"
" &#4696;","ETHIOPIC SYLLABLE QHWA (U+1258)"," e18998"
" &#4698;","ETHIOPIC SYLLABLE QHWI (U+125A)"," e1899a"
" &#4699;","ETHIOPIC SYLLABLE QHWAA (U+125B)"," e1899b"
" &#4700;","ETHIOPIC SYLLABLE QHWEE (U+125C)"," e1899c"
" &#4701;","ETHIOPIC SYLLABLE QHWE (U+125D)"," e1899d"
" &#4704;","ETHIOPIC SYLLABLE BA (U+1260)"," e189a0"
" &#4705;","ETHIOPIC SYLLABLE BU (U+1261)"," e189a1"
" &#4706;","ETHIOPIC SYLLABLE BI (U+1262)"," e189a2"
" &#4707;","ETHIOPIC SYLLABLE BAA (U+1263)"," e189a3"
" &#4708;","ETHIOPIC SYLLABLE BEE (U+1264)"," e189a4"
" &#4709;","ETHIOPIC SYLLABLE BE (U+1265)"," e189a5"
" &#4710;","ETHIOPIC SYLLABLE BO (U+1266)"," e189a6"
" &#4711;","ETHIOPIC SYLLABLE BWA (U+1267)"," e189a7"
" &#4712;","ETHIOPIC SYLLABLE VA (U+1268)"," e189a8"
" &#4713;","ETHIOPIC SYLLABLE VU (U+1269)"," e189a9"
" &#4714;","ETHIOPIC SYLLABLE VI (U+126A)"," e189aa"
" &#4715;","ETHIOPIC SYLLABLE VAA (U+126B)"," e189ab"
" &#4716;","ETHIOPIC SYLLABLE VEE (U+126C)"," e189ac"
" &#4717;","ETHIOPIC SYLLABLE VE (U+126D)"," e189ad"
" &#4718;","ETHIOPIC SYLLABLE VO (U+126E)"," e189ae"
" &#4719;","ETHIOPIC SYLLABLE VWA (U+126F)"," e189af"
" &#4720;","ETHIOPIC SYLLABLE TA (U+1270)"," e189b0"
" &#4721;","ETHIOPIC SYLLABLE TU (U+1271)"," e189b1"
" &#4722;","ETHIOPIC SYLLABLE TI (U+1272)"," e189b2"
" &#4723;","ETHIOPIC SYLLABLE TAA (U+1273)"," e189b3"
" &#4724;","ETHIOPIC SYLLABLE TEE (U+1274)"," e189b4"
" &#4725;","ETHIOPIC SYLLABLE TE (U+1275)"," e189b5"
" &#4726;","ETHIOPIC SYLLABLE TO (U+1276)"," e189b6"
" &#4727;","ETHIOPIC SYLLABLE TWA (U+1277)"," e189b7"
" &#4728;","ETHIOPIC SYLLABLE CA (U+1278)"," e189b8"
" &#4729;","ETHIOPIC SYLLABLE CU (U+1279)"," e189b9"
" &#4730;","ETHIOPIC SYLLABLE CI (U+127A)"," e189ba"
" &#4731;","ETHIOPIC SYLLABLE CAA (U+127B)"," e189bb"
" &#4732;","ETHIOPIC SYLLABLE CEE (U+127C)"," e189bc"
" &#4733;","ETHIOPIC SYLLABLE CE (U+127D)"," e189bd"
" &#4734;","ETHIOPIC SYLLABLE CO (U+127E)"," e189be"
" &#4735;","ETHIOPIC SYLLABLE CWA (U+127F)"," e189bf"
" &#4736;","ETHIOPIC SYLLABLE XA (U+1280)"," e18a80"
" &#4737;","ETHIOPIC SYLLABLE XU (U+1281)"," e18a81"
" &#4738;","ETHIOPIC SYLLABLE XI (U+1282)"," e18a82"
" &#4739;","ETHIOPIC SYLLABLE XAA (U+1283)"," e18a83"
" &#4740;","ETHIOPIC SYLLABLE XEE (U+1284)"," e18a84"
" &#4741;","ETHIOPIC SYLLABLE XE (U+1285)"," e18a85"
" &#4742;","ETHIOPIC SYLLABLE XO (U+1286)"," e18a86"
" &#4743;","ETHIOPIC SYLLABLE XOA (U+1287)"," e18a87"
" &#4744;","ETHIOPIC SYLLABLE XWA (U+1288)"," e18a88"
" &#4746;","ETHIOPIC SYLLABLE XWI (U+128A)"," e18a8a"
" &#4747;","ETHIOPIC SYLLABLE XWAA (U+128B)"," e18a8b"
" &#4748;","ETHIOPIC SYLLABLE XWEE (U+128C)"," e18a8c"
" &#4749;","ETHIOPIC SYLLABLE XWE (U+128D)"," e18a8d"
" &#4752;","ETHIOPIC SYLLABLE NA (U+1290)"," e18a90"
" &#4753;","ETHIOPIC SYLLABLE NU (U+1291)"," e18a91"
" &#4754;","ETHIOPIC SYLLABLE NI (U+1292)"," e18a92"
" &#4755;","ETHIOPIC SYLLABLE NAA (U+1293)"," e18a93"
" &#4756;","ETHIOPIC SYLLABLE NEE (U+1294)"," e18a94"
" &#4757;","ETHIOPIC SYLLABLE NE (U+1295)"," e18a95"
" &#4758;","ETHIOPIC SYLLABLE NO (U+1296)"," e18a96"
" &#4759;","ETHIOPIC SYLLABLE NWA (U+1297)"," e18a97"
" &#4760;","ETHIOPIC SYLLABLE NYA (U+1298)"," e18a98"
" &#4761;","ETHIOPIC SYLLABLE NYU (U+1299)"," e18a99"
" &#4762;","ETHIOPIC SYLLABLE NYI (U+129A)"," e18a9a"
" &#4763;","ETHIOPIC SYLLABLE NYAA (U+129B)"," e18a9b"
" &#4764;","ETHIOPIC SYLLABLE NYEE (U+129C)"," e18a9c"
" &#4765;","ETHIOPIC SYLLABLE NYE (U+129D)"," e18a9d"
" &#4766;","ETHIOPIC SYLLABLE NYO (U+129E)"," e18a9e"
" &#4767;","ETHIOPIC SYLLABLE NYWA (U+129F)"," e18a9f"
" &#4768;","ETHIOPIC SYLLABLE GLOTTAL A (U+12A0)"," e18aa0"
" &#4769;","ETHIOPIC SYLLABLE GLOTTAL U (U+12A1)"," e18aa1"
" &#4770;","ETHIOPIC SYLLABLE GLOTTAL I (U+12A2)"," e18aa2"
" &#4771;","ETHIOPIC SYLLABLE GLOTTAL AA (U+12A3)"," e18aa3"
" &#4772;","ETHIOPIC SYLLABLE GLOTTAL EE (U+12A4)"," e18aa4"
